year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2020,0.64,50000,Petrol,Automatic,Sindh,White,Imported,2000,Crossover,34,30,38,42,KIA
2013,0.97,90000,Petrol,Automatic,Islamabad,White,Imported,1800,Sedan,18,26,38,42,Mercedes-Benz
2011,0.92,94000,Petrol,Automatic,other,Black,Imported,2100,Sedan,18,17,38,42,Mercedes-Benz
2018,0.52,135000,Hybrid,Automatic,Sindh,Grey,Imported,1500,Hatchback,0,6,27,13,Toyota
2021,0.56,62000,Petrol,Automatic,other,Silver,Local,2000,Sedan,18,18,40,42,Hyundai
2017,0.49,68000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,18,21,40,35,Honda
2025,0.93,49000,Petrol,Automatic,Punjab,Black,Local,3500,Compact SUV,28,23,52,42,KIA
2020,0.6,73000,Hybrid,Automatic,Un-Registered,White,Imported,1500,Hatchback,18,3,40,13,Toyota
2013,0.31,85800,Petrol,Manual,Islamabad,Silver,Local,1500,Sedan,14,9,17,13,Honda
2020,0.64,67000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,18,21,40,35,Honda
2004,0.13,50000,Petrol,Manual,Punjab,White,Local,1000,SUV,10,0,0,2,Suzuki
2010,0.24,175000,Petrol,Manual,Punjab,Black,Local,1300,Sedan,7,0,6,4,Toyota
2012,0.03,156000,Petrol,Manual,Sindh,Silver,Local,1300,Sedan,10,0,23,8,Toyota
2022,1.1,29000,Petrol,Automatic,Islamabad,White,Local,3500,Compact SUV,28,23,45,42,KIA
2019,0.34,80000,Petrol,Automatic,Punjab,White,Local,1800,Sedan,18,21,40,35,Honda
2026,1.08,10,Hybrid,Automatic,Un-Registered,Silver,Local,1500,SUV,7,6,27,19,Deepal
2020,0.41,71900,Petrol,Automatic,Sindh,White,Local,1300,Sedan,10,3,17,13,Honda
2015,0.41,90000,Petrol,Automatic,Sindh,Black,Local,1800,Sedan,24,17,40,30,Toyota
2024,0.76,12700,Petrol,Automatic,Punjab,Silver,Local,1800,Sedan,23,13,44,19,Toyota
2020,0.59,26000,Petrol,Automatic,Sindh,Black,Imported,1000,Crossover,0,6,27,19,Toyota
