year,Km_travelled,fuel_type,city,assembly,engine,body_type,interior_scores,exterior_scores,comfort_scores,company,price
2020,50000,5.0,2.0,0.0,2000,2.0,0.0,0.0,0.0,23.0,0.64
2013,90000,5.0,0.0,0.0,1800,8.0,2.0,0.0,0.0,28.0,0.97
2011,94000,5.0,4.0,0.0,2100,8.0,2.0,2.0,0.0,28.0,0.92
2018,135000,2.0,2.0,0.0,1500,3.0,2.0,1.0,1.0,39.0,0.52
2021,62000,5.0,4.0,1.0,2000,8.0,2.0,2.0,0.0,17.0,0.56
2017,68000,5.0,2.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.49
2025,49000,5.0,1.0,1.0,3500,0.0,0.0,0.0,0.0,23.0,0.93
2020,73000,2.0,3.0,0.0,1500,3.0,2.0,1.0,1.0,39.0,0.6
2013,85800,5.0,0.0,1.0,1500,8.0,2.0,1.0,1.0,15.0,0.31
2020,67000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.64
2004,50000,5.0,1.0,1.0,1000,7.0,1.0,2.0,1.0,37.0,0.13
2010,175000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.24
2012,156000,5.0,2.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.03
2022,29000,5.0,0.0,1.0,3500,0.0,0.0,0.0,0.0,23.0,1.1
2019,80000,5.0,1.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.34
2026,10,2.0,3.0,1.0,1500,7.0,1.0,1.0,2.0,10.0,1.08
2020,71900,5.0,2.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.41
2015,90000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.41
2024,12700,5.0,1.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.76
2020,26000,5.0,2.0,0.0,1000,2.0,2.0,1.0,2.0,39.0,0.59
2017,85000,5.0,2.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.39
2018,55000,5.0,4.0,0.0,1500,8.0,1.0,1.0,2.0,15.0,0.42
2026,47000,5.0,3.0,0.0,660,3.0,1.0,2.0,2.0,15.0,0.26
2020,98000,5.0,4.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.62
2022,18000,5.0,1.0,1.0,1500,2.0,2.0,2.0,2.0,15.0,0.64
2016,120000,5.0,2.0,0.0,2700,7.0,0.0,0.0,0.0,39.0,1.59
2016,132000,5.0,1.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.45
2016,98000,5.0,0.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.43
2013,72000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,15.0,0.38
2020,37000,5.0,3.0,0.0,2700,7.0,1.0,2.0,0.0,39.0,2.89
2022,24000,5.0,3.0,0.0,2700,7.0,1.0,2.0,0.0,39.0,3.35
2020,43500,5.0,3.0,0.0,1000,2.0,2.0,2.0,2.0,39.0,0.58
2017,130000,5.0,2.0,1.0,1800,8.0,2.0,2.0,2.0,39.0,0.4
2014,185000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.34
2021,75000,5.0,1.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.39
2020,34000,5.0,1.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.63
2019,108000,5.0,0.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.38
2009,185000,5.0,1.0,1.0,1300,8.0,1.0,1.0,1.0,15.0,0.27
2007,100000,5.0,1.0,1.0,1600,4.0,1.0,1.0,2.0,37.0,0.12
2019,72000,5.0,1.0,1.0,1300,8.0,2.0,2.0,0.0,39.0,0.47
2018,128000,5.0,1.0,1.0,1800,8.0,2.0,1.0,2.0,15.0,0.53
2024,32487,5.0,1.0,1.0,1200,2.0,0.0,2.0,2.0,31.0,0.62
2011,340000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,39.0,0.24
2010,180000,2.0,1.0,0.0,1800,8.0,0.0,1.0,2.0,39.0,0.39
2011,110000,5.0,1.0,1.0,1800,8.0,2.0,0.0,1.0,15.0,0.28
2017,91000,5.0,2.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.42
1986,123455,5.0,0.0,0.0,1500,8.0,1.0,2.0,1.0,39.0,0.08
2019,132000,5.0,1.0,1.0,1300,8.0,2.0,2.0,1.0,39.0,0.47
2024,47500,5.0,0.0,1.0,2000,8.0,0.0,2.0,0.0,17.0,0.97
2023,130000,5.0,1.0,1.0,1500,8.0,0.0,0.0,2.0,15.0,0.85
2020,83600,5.0,2.0,1.0,1800,8.0,0.0,0.0,2.0,39.0,0.58
2016,77000,5.0,0.0,0.0,4600,7.0,2.0,0.0,0.0,39.0,3.95
1997,185000,1.0,2.0,0.0,4200,7.0,1.0,2.0,1.0,39.0,0.59
2022,78000,5.0,2.0,0.0,1200,2.0,0.0,2.0,2.0,31.0,0.46
2019,105000,5.0,2.0,1.0,1600,8.0,2.0,1.0,1.0,39.0,0.43
2007,110000,5.0,1.0,1.0,1300,8.0,1.0,2.0,1.0,37.0,0.12
2021,66000,5.0,0.0,1.0,2000,2.0,0.0,0.0,0.0,23.0,0.69
2022,65000,5.0,0.0,1.0,1800,8.0,2.0,0.0,2.0,39.0,0.69
2019,58000,5.0,2.0,0.0,1000,2.0,0.0,2.0,0.0,8.0,0.54
2017,105000,5.0,0.0,1.0,2700,7.0,2.0,2.0,2.0,39.0,1.1
2016,61000,2.0,0.0,0.0,1500,8.0,2.0,1.0,0.0,39.0,0.55
2016,125000,5.0,1.0,1.0,1800,8.0,2.0,0.0,2.0,15.0,0.48
2013,160000,5.0,0.0,1.0,1800,8.0,2.0,2.0,1.0,15.0,0.33
2007,120000,5.0,2.0,0.0,1800,8.0,2.0,2.0,1.0,15.0,0.21
2026,10,5.0,3.0,1.0,1500,7.0,0.0,0.0,2.0,14.0,0.97
2021,42000,5.0,0.0,1.0,1500,8.0,2.0,0.0,2.0,15.0,0.77
2016,160000,2.0,2.0,0.0,1500,2.0,0.0,2.0,0.0,15.0,0.51
2025,32500,2.0,1.0,1.0,1800,7.0,0.0,0.0,0.0,39.0,0.88
1986,200000,5.0,4.0,1.0,1500,8.0,2.0,1.0,2.0,39.0,0.07
2007,139836,5.0,0.0,0.0,1500,8.0,1.0,2.0,1.0,29.0,0.22
2019,60000,5.0,1.0,1.0,1800,8.0,0.0,0.0,2.0,39.0,0.61
2005,157000,5.0,0.0,0.0,1300,8.0,2.0,2.0,1.0,29.0,0.18
2019,50000,5.0,1.0,0.0,660,8.0,1.0,1.0,1.0,39.0,0.29
2019,75000,2.0,2.0,0.0,1500,8.0,0.0,0.0,0.0,15.0,0.78
