city,latitude,longitude,avg_price,number_of_cars
Abbottabad,34.1436136,73.2132747,0.3551094890510949,137
Abdul Hakeem,35.913354,74.391603,0.305,2
Ahmed Pur East,32.482621,74.5511861,0.17,1
Allahabad,29.5628577,70.5266118,0.45,1
Arifwala,30.2933092,73.0653554,0.67,1
Attock,33.7695323,72.3610911,0.32,4
Bahawalnagar,29.9935922,73.2527621,0.185,2
Bahawalpur,29.40295,71.6523454,0.31923076923076926,13
Bannu,32.9857007,70.6036017,0.24,2
Bhakkar,31.6221111,71.0650584,0.45,1
Bhimber,32.9740589,74.0738531,0.23,1
Buner,34.4984254,72.4632778,0.25,1
Burewala,30.1588005,72.6796973,0.27,1
Chichawatni,30.531691,72.6914049,0.24,1
Chiniot,31.7309524,72.9834213,0.2425,4
Daska,32.3323692,74.352516,0.275,2
Dera Ghazi Khan,30.0321374,70.6401114,0.06,1
Dera ismail khan,31.827527,70.9090919,0.15,3
Faisalabad,31.422055800000003,73.0923253,0.19977528089887642,89
Fateh pur,31.0191056,74.3309732,0.53,1
Gojra,31.1482371,72.6859082,0.445,2
Gujranwala,32.1525312,74.1933745,0.35344827586206895,29
Gujrat,32.5627852,74.064535,0.4014285714285714,7
Hafizabad,34.5091222,73.0092357,0.22599999999999998,5
Haripur,33.9944889,72.9331737,0.43,2
Hyderabad,25.3810931,68.37348,0.40800000000000003,20
Islamabad,33.6938118,73.06515109999998,0.6813775837719861,7789
Jacobabad,28.2813094,68.4364361,0.1,1
Jahaniya,30.038018,71.8184519,1.6,1
Jampur,29.6384224,70.5772492,0.45,1
Jamshoro,25.433918,68.2816926,0.04,1
Jand,33.4317702,72.0196309,0.19,1
Jhang,31.2728805,72.3103071,0.7,1
Jhelum,32.9247256,73.719388,0.20714285714285716,7
Kamoke,31.9818109,74.2259352,0.27,1
Karachi,24.9216143,67.1546212,0.5387620528771384,3215
Karak,33.1160464,71.0950863,0.23,1
Kashmir,34.0479904,73.8151437,0.21799999999999997,5
Khairpur Mir,27.2894214,68.4591123,0.47,1
Khanewal,30.3022528,71.9278916,0.37333333333333335,3
Kharian,32.8100237,73.8663245,0.41,1
Khyber,36.5777701,74.7961098,0.75,1
Kohat,33.5967144,71.4399944,0.25,1
Lahore,31.565682200000005,74.31418289999999,0.4215643462625225,3893
Layyah,30.9681007,70.9433836,0.35,1
Lower Dir,34.8940238,71.9813162,0.41,1
Mandi bahauddin,32.5846351,73.4914169,0.6883333333333334,6
Mansehra,34.3286855,73.1993125,0.15333333333333332,3
Mardan,34.1937969,72.0451467,0.14777777777777779,9
Mian Channu,30.4389367,72.3550547,0.73,1
Mirpur A.K.,33.1486351,73.7482102,0.3466666666666667,12
Mirpur khas,25.5263882,69.0112387,0.14500000000000002,2
Multan,30.197838,71.4719683,0.26960526315789474,76
Muzaffarabad,34.3734751,73.4702407,0.242,10
Nowshera,34.0155606,71.981283,0.16,7
Nowshera cantt,34.000228,72.0054602,0.39,1
Okara,30.8091281,73.4493301,0.29333333333333333,3
Peshawar,34.0123846,71.5787458,0.26510489510489516,143
Phalia,32.4329036,73.577159,1.6,1
Punjab,31.0,72.0,0.5945816013012832,5533
Quetta,30.1916268,67.0007561,0.22,17
Rahim Yar Khan,28.4225413,70.3034237,0.245,4
Rawalpindi,33.5915446,73.053721,0.26006622516556294,151
Sahiwal,30.6715098,73.1110572,0.29,8
Sargodha,32.0836514,72.676461,0.21857142857142858,7
Sheikhupura,31.7085285,73.9864014,0.335,2
Sialkot,32.4935378,74.5411575,0.32327272727272727,55
Sindh,25.5,69.0,0.4733879461673493,3418
Sukkur,27.7007522,68.8663081,0.2375,4
Swabi,34.1262144,72.4743164,0.195,2
Swat,34.3192278,71.5902939,0.6642857142857144,7
Tando Muhammad Khan,25.122623,68.5299107,0.84,1
Tando adam,25.7607497,68.6621855,0.6,1
Tank,32.2096916,70.3881146,0.17,1
Tarbela,34.0901931,72.6957608,0.07,1
Toba Tek Singh,30.977705599999997,72.4860799,0.16333333333333333,3
Wah cantt,33.7357089,72.8017659,0.3,1
