year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2020,0.64,50000,Petrol,Automatic,Sindh,White,Imported,2000.0,Crossover,34.0,30.0,38.0,42.0,KIA
2013,0.97,90000,Petrol,Automatic,Islamabad,White,Imported,1800.0,Sedan,18.0,26.0,38.0,42.0,Mercedes-Benz
2011,0.92,94000,Petrol,Automatic,other,Black,Imported,2100.0,Sedan,18.0,17.0,38.0,42.0,Mercedes-Benz
2018,0.52,135000,Hybrid,Automatic,Sindh,Grey,Imported,1500.0,Hatchback,0.0,6.0,27.0,13.0,Toyota
2021,0.56,62000,Petrol,Automatic,other,Silver,Local,2000.0,Sedan,18.0,18.0,40.0,42.0,Hyundai
2017,0.49,68000,Petrol,Automatic,Sindh,other,Local,1800.0,Sedan,18.0,21.0,40.0,35.0,Honda
2025,0.93,49000,Petrol,Automatic,Punjab,Black,Local,3500.0,Compact SUV,28.0,23.0,52.0,42.0,KIA
2020,0.6,73000,Hybrid,Automatic,Un-Registered,White,Imported,1500.0,Hatchback,18.0,3.0,40.0,13.0,Toyota
2013,0.31,85800,Petrol,Manual,Islamabad,Silver,Local,1500.0,Sedan,14.0,9.0,17.0,13.0,Honda
2020,0.64,67000,Petrol,Automatic,Islamabad,White,Local,1800.0,Sedan,18.0,21.0,40.0,35.0,Honda
2004,0.13,50000,Petrol,Manual,Punjab,White,Local,1000.0,SUV,10.0,0.0,0.0,2.0,Suzuki
2010,0.24,175000,Petrol,Manual,Punjab,Black,Local,1300.0,Sedan,7.0,0.0,6.0,4.0,Toyota
2012,0.03,156000,Petrol,Manual,Sindh,Silver,Local,1300.0,Sedan,10.0,0.0,23.0,8.0,Toyota
2022,1.1,29000,Petrol,Automatic,Islamabad,White,Local,3500.0,Compact SUV,28.0,23.0,45.0,42.0,KIA
2019,0.34,80000,Petrol,Automatic,Punjab,White,Local,1800.0,Sedan,18.0,21.0,40.0,35.0,Honda
2026,1.08,10,Hybrid,Automatic,Un-Registered,Silver,Local,1500.0,SUV,7.0,6.0,27.0,19.0,Deepal
2020,0.41,71900,Petrol,Automatic,Sindh,White,Local,1300.0,Sedan,10.0,3.0,17.0,13.0,Honda
2015,0.41,90000,Petrol,Automatic,Sindh,Black,Local,1800.0,Sedan,24.0,17.0,40.0,30.0,Toyota
2024,0.76,12700,Petrol,Automatic,Punjab,Silver,Local,1800.0,Sedan,23.0,13.0,44.0,19.0,Toyota
2020,0.59,26000,Petrol,Automatic,Sindh,Black,Imported,1000.0,Crossover,0.0,6.0,27.0,19.0,Toyota
2017,0.39,85000,Petrol,Automatic,Sindh,Silver,Local,1300.0,Sedan,14.0,0.0,17.0,13.0,Toyota
2018,0.42,55000,Petrol,Automatic,other,White,Imported,1500.0,Sedan,10.0,6.0,17.0,24.0,Honda
2026,0.26,47000,Petrol,Automatic,Un-Registered,White,Imported,660.0,Hatchback,10.0,0.0,33.0,18.0,Honda
2020,0.62,98000,Petrol,Automatic,other,White,Local,1800.0,Sedan,18.0,21.0,40.0,35.0,Honda
2022,0.64,18000,Petrol,Automatic,Punjab,Black,Local,1500.0,Crossover,18.0,20.0,44.0,29.0,Honda
2016,1.59,120000,Petrol,Automatic,Sindh,Black,Imported,2700.0,SUV,28.0,28.0,50.0,42.0,Toyota
2016,0.45,132000,Petrol,Automatic,Punjab,Black,Local,1600.0,Sedan,18.0,6.0,33.0,13.0,Toyota
2016,0.43,98000,Petrol,Automatic,Islamabad,Grey,Local,1300.0,Sedan,14.0,0.0,17.0,13.0,Toyota
2013,0.38,72000,Petrol,Automatic,Sindh,White,Local,1800.0,Sedan,14.0,17.0,27.0,24.0,Honda
2020,2.89,37000,Petrol,Automatic,Un-Registered,Black,Imported,2700.0,SUV,11.0,13.0,39.0,44.0,Toyota
2022,3.35,24000,Petrol,Automatic,Un-Registered,White,Imported,2700.0,SUV,11.0,13.0,39.0,44.0,Toyota
2020,0.58,43500,Petrol,Automatic,Un-Registered,Blue,Imported,1000.0,Crossover,0.0,0.0,0.0,0.0,Toyota
2017,0.4,130000,Petrol,Automatic,Sindh,Black,Local,1800.0,Sedan,24.0,17.0,40.0,30.0,Toyota
2014,0.34,185000,Petrol,Manual,Punjab,Black,Local,1300.0,Sedan,10.0,0.0,6.0,8.0,Toyota
2021,0.39,75000,Petrol,Manual,Punjab,White,Local,1300.0,Sedan,10.0,3.0,17.0,13.0,Honda
2020,0.63,34000,Petrol,Automatic,Punjab,other,Local,1800.0,Sedan,18.0,21.0,40.0,35.0,Honda
2019,0.38,108000,Petrol,Manual,Islamabad,White,Local,1300.0,Sedan,10.0,3.0,17.0,13.0,Honda
2009,0.27,185000,Petrol,Manual,Punjab,White,Local,1300.0,Sedan,10.0,9.0,23.0,13.0,Honda
2007,0.12,100000,Petrol,Manual,Punjab,Silver,Local,1600.0,MPV,7.0,9.0,11.0,18.0,Suzuki
2019,0.47,72000,Petrol,Automatic,Punjab,Grey,Local,1300.0,Sedan,19.0,16.0,37.0,36.0,Toyota
2018,0.53,128000,Petrol,Automatic,Punjab,other,Local,1800.0,Sedan,23.0,4.0,40.0,35.0,Honda
2024,0.62,32487,Petrol,Automatic,Punjab,Black,Local,1200.0,Crossover,28.0,20.0,50.0,30.0,Peugeot
2011,0.24,340000,Petrol,Manual,Punjab,Black,Local,1300.0,Sedan,7.0,0.0,6.0,4.0,Toyota
2010,0.39,180000,Hybrid,Automatic,Punjab,Silver,Imported,1800.0,Sedan,27.0,9.0,34.0,30.0,Toyota
2011,0.28,110000,Petrol,Automatic,Punjab,Black,Local,1800.0,Sedan,19.0,24.0,33.0,8.0,Honda
2017,0.42,91000,Petrol,Manual,Sindh,Silver,Local,1300.0,Sedan,14.0,0.0,27.0,13.0,Toyota
1986,0.08,123455,Petrol,Manual,Islamabad,White,Imported,1500.0,Sedan,7.0,0.0,21.0,10.0,Toyota
2019,0.47,132000,Petrol,Manual,Punjab,White,Local,1300.0,Sedan,14.0,0.0,27.0,13.0,Toyota
2024,0.97,47500,Petrol,Automatic,Islamabad,White,Local,2000.0,Sedan,34.0,20.0,45.0,42.0,Hyundai
2023,0.85,130000,Petrol,Automatic,Punjab,White,Local,1500.0,Sedan,29.0,21.0,44.0,35.0,Honda
2020,0.58,83600,Petrol,Automatic,Sindh,other,Local,1800.0,Sedan,29.0,28.0,44.0,30.0,Toyota
2016,3.95,77000,Petrol,Automatic,Islamabad,White,Imported,4600.0,SUV,24.0,28.0,62.0,60.0,Toyota
1997,0.59,185000,Diesel,Automatic,Sindh,other,Imported,4200.0,SUV,10.0,17.0,11.0,8.0,Toyota
2022,0.46,78000,Petrol,Automatic,Sindh,Black,Imported,1200.0,Crossover,28.0,10.0,50.0,24.0,Peugeot
2019,0.43,105000,Petrol,Automatic,Sindh,White,Local,1600.0,Sedan,18.0,6.0,33.0,13.0,Toyota
2007,0.12,110000,Petrol,Manual,Punjab,White,Local,1300.0,Sedan,10.0,0.0,17.0,13.0,Suzuki
2021,0.69,66000,Petrol,Automatic,Islamabad,White,Local,2000.0,Crossover,28.0,23.0,38.0,42.0,KIA
2022,0.69,65000,Petrol,Automatic,Islamabad,other,Local,1800.0,Sedan,24.0,21.0,44.0,30.0,Toyota
