year,Km_travelled,fuel_type,city,assembly,engine,body_type,interior_scores,exterior_scores,comfort_scores,company,price
2020,50000,Petrol,Sindh,Imported,2000,Crossover,high,high,high,KIA,0.64
2013,90000,Petrol,Islamabad,Imported,1800,Sedan,medium,high,high,Mercedes-Benz,0.97
2011,94000,Petrol,other,Imported,2100,Sedan,medium,medium,high,Mercedes-Benz,0.92
2018,135000,Hybrid,Sindh,Imported,1500,Hatchback,medium,low,low,Toyota,0.52
2021,62000,Petrol,other,Local,2000,Sedan,medium,medium,high,Hyundai,0.56
2017,68000,Petrol,Sindh,Local,1800,Sedan,medium,high,medium,Honda,0.49
2025,49000,Petrol,Punjab,Local,3500,Compact SUV,high,high,high,KIA,0.93
2020,73000,Hybrid,Un-Registered,Imported,1500,Hatchback,medium,low,low,Toyota,0.6
2013,85800,Petrol,Islamabad,Local,1500,Sedan,medium,low,low,Honda,0.31
2020,67000,Petrol,Islamabad,Local,1800,Sedan,medium,high,medium,Honda,0.64
2004,50000,Petrol,Punjab,Local,1000,SUV,low,medium,low,Suzuki,0.13
2010,175000,Petrol,Punjab,Local,1300,Sedan,low,medium,low,Toyota,0.24
2012,156000,Petrol,Sindh,Local,1300,Sedan,low,medium,low,Toyota,0.03
2022,29000,Petrol,Islamabad,Local,3500,Compact SUV,high,high,high,KIA,1.1
2019,80000,Petrol,Punjab,Local,1800,Sedan,medium,high,medium,Honda,0.34
2026,10,Hybrid,Un-Registered,Local,1500,SUV,low,low,medium,Deepal,1.08
2020,71900,Petrol,Sindh,Local,1300,Sedan,low,low,low,Honda,0.41
2015,90000,Petrol,Sindh,Local,1800,Sedan,medium,medium,medium,Toyota,0.41
2024,12700,Petrol,Punjab,Local,1800,Sedan,medium,medium,medium,Toyota,0.76
2020,26000,Petrol,Sindh,Imported,1000,Crossover,medium,low,medium,Toyota,0.59
2017,85000,Petrol,Sindh,Local,1300,Sedan,medium,medium,low,Toyota,0.39
2018,55000,Petrol,other,Imported,1500,Sedan,low,low,medium,Honda,0.42
2026,47000,Petrol,Un-Registered,Imported,660,Hatchback,low,medium,medium,Honda,0.26
2020,98000,Petrol,other,Local,1800,Sedan,medium,high,medium,Honda,0.62
2022,18000,Petrol,Punjab,Local,1500,Crossover,medium,medium,medium,Honda,0.64
2016,120000,Petrol,Sindh,Imported,2700,SUV,high,high,high,Toyota,1.59
2016,132000,Petrol,Punjab,Local,1600,Sedan,medium,low,low,Toyota,0.45
2016,98000,Petrol,Islamabad,Local,1300,Sedan,medium,medium,low,Toyota,0.43
2013,72000,Petrol,Sindh,Local,1800,Sedan,medium,medium,medium,Honda,0.38
2020,37000,Petrol,Un-Registered,Imported,2700,SUV,low,medium,high,Toyota,2.89
2022,24000,Petrol,Un-Registered,Imported,2700,SUV,low,medium,high,Toyota,3.35
2020,43500,Petrol,Un-Registered,Imported,1000,Crossover,medium,medium,medium,Toyota,0.58
2017,130000,Petrol,Sindh,Local,1800,Sedan,medium,medium,medium,Toyota,0.4
2014,185000,Petrol,Punjab,Local,1300,Sedan,low,medium,low,Toyota,0.34
2021,75000,Petrol,Punjab,Local,1300,Sedan,low,low,low,Honda,0.39
